Feature,Importance
al,0.3829165591617198
rob,0.3826961571717981
mae,0.3822188443882958
erg,0.38139769876477236
mac,0.38090695235383004
h,0.3803548694986455
sam,0.3795842013203012
irk,0.37872917213618545
oha,0.37846729044428035
joh,0.37846729044428035
org,0.37802269696344565
hro,0.37794451676453644
ckx,0.37621500226976495
abb,0.3760171079667845
pi,0.3753900607180945
ies,0.3753225359968872
ras,0.37524676435485393
ry,0.37501999539784303
ai,0.37464718262849506
mpa,0.3738957022032742
cu,0.37360020023390994
ov,0.3733431418743228
pau,0.3716328324324792
em,0.37108492354760253
ev,0.3698940246959728
hi,0.36953652898844036
nga,0.36931631158642225
auw,0.3681755747982137
ves,0.3678968980461458
arz,0.3678293207800441
ste,0.36724531014529993
ß,0.36716124430844677
ink,0.3667823386980277
ntz,0.36669520074050216
hag,0.36628127512719777
eye,0.3661914517899149
rut,0.3661449047169513
obb,0.3659761718411436
ed,0.36587695899597916
tc,0.3656447187927789
tch,0.3656447187927789
ca,0.36493259792428334
vel,0.3640368460195734
on,0.36396529604372035
ilm,0.3638684625941599
lms,0.3638684625941599
tui,0.36334150104895185
eli,0.3631428732032199
ä,0.36289788657198324
z,0.36238159807322895
fra,0.3618124461391873
out,0.36153346684295457
oom,0.36135728714797843
imm,0.36073084810082007
mms,0.36073084810082007
sel,0.3594508031277755
mb,0.359119325710964
lde,0.3586730901669998
ge,0.3583515153626941
rks,0.35760941337165053
nag,0.3572493689683444
rts,0.3564622130865925
in,0.35639879558580456
ill,0.35583441947205285
 c,0.35519143948225984
ef,0.3551802233759516
nss,0.3545957582931761
chr,0.3536085027716459
key,0.35322042507955226
esp,0.3526024657824584
lse,0.3516560704042256
ps,0.3515178030118438
hal,0.3508456449494295
ouw,0.3498847443590283
za,0.3486845250103043
enb,0.3473434641979557
nie,0.3465282598898937
yer,0.34616322169818703
car,0.34590393162736766
ena,0.3448865617639446
leb,0.34485593364438116
par,0.34484858860081524
mog,0.3438801687170786
lip,0.34372537606011927
oj,0.34329567708717645
asp,0.3428571506739922
spe,0.3428571506739922
ild,0.34283862280378824
alf,0.34255020800758346
kn,0.3425312073607299
rix,0.3423365481171991
ood,0.341179026906937
ncy,0.34034379771334283
cy,0.34034379771334283
yan,0.34034379771334283
v,0.33959572278749306
ly,0.33912903936474453
e l,0.3382661377619152
ger,0.33679161760142545
ig,0.33641858578496675
obe,0.3345664799569115
na,0.33418063710332174
e c,0.3339457644182153
kk,0.3336216108416321
kke,0.3336216108416321
rx,0.33346678391873735
erx,0.33346678391873735
oja,0.33323361099264187
zin,0.332716943801174
elz,0.332716943801174
lzi,0.332716943801174
tan,0.3324035133228661
int,0.33222520319667975
del,0.3318148015463212
o,0.33132617479252385
jo,0.33128276229856335
ala,0.3312371774311895
aak,0.33035467355279935
ose,0.33035303939390087
ope,0.3288017710460776
ab,0.3281917165552921
lfs,0.32790267068578266
fs,0.32790267068578266
yk,0.32787748263885375
um,0.32711383784769377
ub,0.32673720048418725
eun,0.3263579201357512
uni,0.3263579201357512
err,0.3248412863413907
kru,0.32470864354732115
cl,0.32447234582077017
xa,0.3225765469175505
exa,0.3225765469175505
ex,0.3225765469175505
xan,0.3225765469175505
lex,0.3225765469175505
res,0.32243239544192986
rsl,0.32200818754760435
ndt,0.32192471519439136
ero,0.32168044626475767
are,0.3210891811260842
